sample-id	Substrate	line	experimental-day	diet	type	replicate	expid	gutmass	biomass	endpoint	temperature	humidity	group	fat	protein	ash	carb	MR	BCR	growth	SR
LDD5PR2	Plant	LD	D5	P	Hete	2	LD_D5_P	172.2	409.32	10	28.78396625	86.14838423	LD_P	0.03884	0.04078	0.00626	0.096	0.850000001	0.228660504	16.9	1.435582822
LDD5PR3	Plant	LD	D5	P	Hete	3	LD_D5_P	106.7	407.985	10	28.78396625	86.14838423	LD_P	0.03884	0.04078	0.00626	0.096	0.789540001	0.192576871	16.1	1.214723926
LDD5MHPR1	Meat	LD	D5	MHP	Hete	1	LD_D5_MHP	68.8	189.735	16	28.78396625	86.14838423	LD_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
LDD5MHPR2	Meat	LD	D5	MHP	Hete	2	LD_D5_MHP	98.3	314.775	16	28.78396625	86.14838423	LD_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
LDD5MHPR3	Meat	LD	D5	MHP	Hete	3	LD_D5_MHP	41.1	321.9	16	28.78396625	86.14838423	LD_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
LDD5MLPR1	Plant	LD	D5	MLP	Hete	1	LD_D5_MLP	72.1	427.14	10	28.78396625	86.14838423	LD_MLP	0.03244	0.05692	0.00992	0.08488	0.809999999	0.171075838	18.4	1.067484663
LDD5MLPR2	Plant	LD	D5	MLP	Hete	2	LD_D5_MLP	166.7	353.685	10	28.78396625	86.14838423	LD_MLP	0.03244	0.05692	0.00992	0.08488	0.832857143	0.217838765	16.6	1.423312883
LDD5MLPR3	Plant	LD	D5	MLP	Hete	3	LD_D5_MLP	125.4	294.72	10	28.78396625	86.14838423	LD_MLP	0.03244	0.05692	0.00992	0.08488	0.76142857	0.183864916	13.8	1.460122699
LDD5NUSR1	Meat	LD	D5	NUS	Hete	1	LD_D5_NUS	86.7	301.155	12	28.93563028	84.95341151	LD_NUS	0.02934	0.03326	0.00772	0.11856	0.890428571	0.286991818	11.9	1.570552147
LDD5NUSR2	Meat	LD	D5	NUS	Hete	2	LD_D5_NUS	106	409.53	12	28.93563028	84.95341151	LD_NUS	0.02934	0.03326	0.00772	0.11856	0.87642857	0.24208965	14.6	1.042944785
LDD5NUSR3	Meat	LD	D5	NUS	Hete	3	LD_D5_NUS	159.9	377.805	12	28.93563028	84.95341151	LD_NUS	0.02934	0.03326	0.00772	0.11856	0.879999999	0.253766234	14.3	1.128834356
LDD10CF70R1	Plant	LD	D10	CF	Homo	1	LD_D10_Control	218.4	774.78	11	28.78396625	86.14838423	LD_CF70	0.01214	0.03912	0.0177	0.11106	0.759714286	0.258367925	19.3	1.006134969
LDD10CF70R2	Plant	LD	D10	CF	Homo	2	LD_D10_Control	237	850.08	11	28.78396625	86.14838423	LD_CF70	0.01214	0.03912	0.0177	0.11106	0.785428572	0.281878683	18.8	1.018404908
LDD10CF70R3	Plant	LD	D10	CF	Homo	3	LD_D10_Control	206.3	810.36	11	28.78396625	86.14838423	LD_CF70	0.01214	0.03912	0.0177	0.11106	0.753714285	0.371613169	19.1	1.006134969
LDD10OKAR1	Plant	LD	D10	OKA	Homo	1	LD_D10_OKA	138.8	560.79	11	28.93563028	84.95341151	LD_OKA	0.01882	0.05412	0.00818	0.11028	0.657142858	0.280593478	15.7	1.27607362
LDD10OKAR2	Plant	LD	D10	OKA	Homo	2	LD_D10_OKA	120.9	498.12	11	28.93563028	84.95341151	LD_OKA	0.01882	0.05412	0.00818	0.11028	0.730000001	0.221690802	14.6	1.17791411
LDD10OKAR3	Plant	LD	D10	OKA	Homo	3	LD_D10_OKA	123.4	459.4	11	28.93563028	84.95341151	LD_OKA	0.01882	0.05412	0.00818	0.11028	0.64	0.245	16.2	1.02
LDD10PKMR1	Plant	LD	D10	PKM	Homo	1	LD_D10_PKM	153	359.04	15	28.93563028	84.95341151	LD_PKM	0.02079	0.04929	0.01278	0.18732	0.569657143	0.142107199	8.7	0.962406015
LDD10PKMR2	Plant	LD	D10	PKM	Homo	2	LD_D10_PKM	143.4	350.58	15	28.93563028	84.95341151	LD_PKM	0.02079	0.04929	0.01278	0.18732	0.564304761	0.14007966	8.7	0.952380952
LDD10PKMR3	Plant	LD	D10	PKM	Homo	3	LD_D10_PKM	123.9	324.48	15	28.93563028	84.95341151	LD_PKM	0.02079	0.04929	0.01278	0.18732	0.589025715	0.15845375	8.1	1.182957393
LDD10RIBR1	Plant	LD	D10	RIB	Homo	1	LD_D10_RIB	129.8	431.79	14	28.93563028	84.95341151	LD_RIB	0.0225	0.0453	0.0264	0.1668	0.59047619	0.151983871	8.6	1.162907268
LDD10RIBR2	Plant	LD	D10	RIB	Homo	2	LD_D10_RIB	152.1	416.43	14	28.93563028	84.95341151	LD_RIB	0.0225	0.0453	0.0264	0.1668	0.623809524	0.189442748	9.6	0.94235589
LDD10RIBR3	Plant	LD	D10	RIB	Homo	3	LD_D10_RIB	93.3	336.75	14	28.93563028	84.95341151	LD_RIB	0.0225	0.0453	0.0264	0.1668	0.585714284	0.14474271	9.6	0.832080201
LDD10SBMR1	Plant	LD	D10	SBM	Homo	1	LD_D10_SBM	139.6	631.98	14	28.93563028	84.95341151	LD_SBM	0.0057	0.041301639	0.0057	0.034386885	0.8	0.147675	12	0.601503759
LDD10SBMR2	Plant	LD	D10	SBM	Homo	2	LD_D10_SBM	212.9	633.6	14	28.93563028	84.95341151	LD_SBM	0.0057	0.041301639	0.0057	0.034386885	0.825714286	0.16138985	11.6	0.781954887
LDD10SBMR3	Plant	LD	D10	SBM	Homo	3	LD_D10_SBM	144.7	592.17	14	28.93563028	84.95341151	LD_SBM	0.0057	0.041301639	0.0057	0.034386885	0.810476191	0.162961222	13.1	0.64160401
LDD10MR1	Meat	LD	D10	M	Homo	1	LD_D10_M	21.4	165.93	22	28.78396625	86.14838423	LD_M	0.00892	0.05436	0.0249	0.09432	0.471772858	0.107239864	4.7	0.613496933
LDD10MR2	Meat	LD	D10	M	Homo	2	LD_D10_M	65	274.47	22	28.78396625	86.14838423	LD_M	0.00892	0.05436	0.0249	0.09432	0.528429999	0.097818065	4.4	0.662576687
LDD10MR3	Meat	LD	D10	M	Homo	3	LD_D10_M	67.3	161.34	22	28.78396625	86.14838423	LD_M	0.00892	0.05436	0.0249	0.09432	0.495501426	0.074686249	3.2	0.711656442
LDD10PR1	Plant	LD	D10	P	Hete	1	LD_D10_P	144.1	493.8	10	28.78396625	86.14838423	LD_P	0.03884	0.04078	0.00626	0.096	0.771301429	0.196115656	14.7	1.27607362
LDD10PR2	Plant	LD	D10	P	Hete	2	LD_D10_P	162	459.69	10	28.78396625	86.14838423	LD_P	0.03884	0.04078	0.00626	0.096	0.850000001	0.228660504	16.9	1.435582822
LDD10PR3	Plant	LD	D10	P	Hete	3	LD_D10_P	165.6	502.8	10	28.78396625	86.14838423	LD_P	0.03884	0.04078	0.00626	0.096	0.789540001	0.192576871	16.1	1.214723926
LDD10MHPR1	Meat	LD	D10	MHP	Hete	1	LD_D10_MHP	108.9	515.79	16	28.78396625	86.14838423	LD_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
LDD10MHPR2	Meat	LD	D10	MHP	Hete	2	LD_D10_MHP	132.6	552.6	16	28.78396625	86.14838423	LD_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
LDD10MHPR3	Meat	LD	D10	MHP	Hete	3	LD_D10_MHP	90.7	466.71	16	28.78396625	86.14838423	LD_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
LDD10MLPR1	Plant	LD	D10	MLP	Hete	1	LD_D10_MLP	180.7	550.8	10	28.78396625	86.14838423	LD_MLP	0.03244	0.05692	0.00992	0.08488	0.809999999	0.171075838	18.4	1.067484663
LDD10MLPR2	Plant	LD	D10	MLP	Hete	2	LD_D10_MLP	104	410.13	10	28.78396625	86.14838423	LD_MLP	0.03244	0.05692	0.00992	0.08488	0.832857143	0.217838765	16.6	1.423312883
LDD10MLPR3	Plant	LD	D10	MLP	Hete	3	LD_D10_MLP	112.8	407.07	10	28.78396625	86.14838423	LD_MLP	0.03244	0.05692	0.00992	0.08488	0.76142857	0.183864916	13.8	1.460122699
LDD10NUSR1	Meat	LD	D10	NUS	Hete	1	LD_D10_NUS	167.6	629.58	12	28.93563028	84.95341151	LD_NUS	0.02934	0.03326	0.00772	0.11856	0.890428571	0.286991818	11.9	1.570552147
LDD10NUSR2	Meat	LD	D10	NUS	Hete	2	LD_D10_NUS	202.7	709.77	12	28.93563028	84.95341151	LD_NUS	0.02934	0.03326	0.00772	0.11856	0.87642857	0.24208965	14.6	1.042944785
LDD10NUSR3	Meat	LD	D10	NUS	Hete	3	LD_D10_NUS	139.2	614.91	12	28.93563028	84.95341151	LD_NUS	0.02934	0.03326	0.00772	0.11856	0.879999999	0.253766234	14.3	1.128834356
WTD0R1	D0	WT	D0	D0	Fresh	1	WT_D0	1	30.045	0	28.16894808	84.52200564	WT_D0	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
WTD0R2	D0	WT	D0	D0	Fresh	2	WT_D0	1	15.83454545	0	28.16894808	84.52200564	WT_D0	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
WTD0R3	D0	WT	D0	D0	Fresh	3	WT_D0	1	22.99090909	0	28.16894808	84.52200564	WT_D0	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
WTD5CF70R2	Plant	WT	D5	CF	Homo	2	WT_D5_Control	70.3	429.36	14	27.77322495	85.78534555	WT_CF70	0.01214	0.03912	0.0177	0.11106	0.745571428	15.1136	14.90809524	1
WTD5CF70R3	Plant	WT	D5	CF	Homo	3	WT_D5_Control	142	459.255	14	27.77322495	85.78534555	WT_CF70	0.01214	0.03912	0.0177	0.11106	0.733428572	15.0684	16.12092555	1
WTD5OKAR1	Plant	WT	D5	OKA	Homo	1	WT_D5_OKA	106	380.07	13	28.16894808	84.52200564	WT_OKA	0.01882	0.05412	0.00818	0.11028	0.70457143	12.16	12.44820273	1.257078409
WTD5OKAR2	Plant	WT	D5	OKA	Homo	2	WT_D5_OKA	66.5	382.35	13	28.16894808	84.52200564	WT_OKA	0.01882	0.05412	0.00818	0.11028	0.721142858	11.7	12.88242836	1.198336427
WTD5OKAR3	Plant	WT	D5	OKA	Homo	3	WT_D5_OKA	99.1	368.55	13	28.16894808	84.52200564	WT_OKA	0.01882	0.05412	0.00818	0.11028	0.680285715	11.45	12.80176923	1.174839634
WTD5PKMR1	Plant	WT	D5	PKM	Homo	1	WT_D5_PKM	18	142.41	19	28.16894808	84.52200564	WT_PKM	0.02079	0.04929	0.01278	0.18732	0.66095238	7.9272	10.07262737	0.809155011
WTD5PKMR2	Plant	WT	D5	PKM	Homo	2	WT_D5_PKM	21.4	136.98	19	28.16894808	84.52200564	WT_PKM	0.02079	0.04929	0.01278	0.18732	0.49447619	8.0376	9.421230769	1.050850664
WTD5PKMR3	Plant	WT	D5	PKM	Homo	3	WT_D5_PKM	26.1	141.15	19	28.16894808	84.52200564	WT_PKM	0.02079	0.04929	0.01278	0.18732	0.563142856	8.7772	9.084900285	0.993053877
WTD5RIBR1	Plant	WT	D5	RIB	Homo	1	WT_D5_RIB	47.9	155.64	15	28.16894808	84.52200564	WT_RIB	0.0225	0.0453	0.0264	0.1668	1	8.9208	11.37178862	1.07712193
WTD5RIBR2	Plant	WT	D5	RIB	Homo	2	WT_D5_RIB	37.5	213.45	15	28.16894808	84.52200564	WT_RIB	0.0225	0.0453	0.0264	0.1668	0.551142857	7.8116	10.91870567	0.987799624
WTD5RIBR3	Plant	WT	D5	RIB	Homo	3	WT_D5_RIB	58.9	214.74	15	28.16894808	84.52200564	WT_RIB	0.0225	0.0453	0.0264	0.1668	0.999999998	8.6118	11.28754252	1.02983365
WTD5SBMR1	Plant	WT	D5	SBM	Homo	1	WT_D5_SBM	83.2	373.965	13	28.16894808	84.52200564	WT_SBM	0.0057	0.041301639	0.0057	0.034386885	0.731238097	12.23	13.29665072	1.098138943
WTD5SBMR2	Plant	WT	D5	SBM	Homo	2	WT_D5_SBM	75.3	414.765	13	28.16894808	84.52200564	WT_SBM	0.0057	0.041301639	0.0057	0.034386885	0.720857143	11.79	12.65395818	1.082376184
WTD5SBMR3	Plant	WT	D5	SBM	Homo	3	WT_D5_SBM	109.3	418.8	13	28.16894808	84.52200564	WT_SBM	0.0057	0.041301639	0.0057	0.034386885	0.718190478	10.92	12.20928017	1.145427223
WTD5MR1	Meat	WT	D5	M	Homo	1	WT_D5_M	58.4	193.635	22	27.77322495	85.78534555	WT_M	0.00892	0.05436	0.0249	0.09432	0.256571429	4.3842	4.116710268	0.816513546
WTD5MR2	Meat	WT	D5	M	Homo	2	WT_D5_M	43	189.24	22	27.77322495	85.78534555	WT_M	0.00892	0.05436	0.0249	0.09432	0.204571428	5.0914	4.361332924	0.869381329
WTD5MR3	Meat	WT	D5	M	Homo	3	WT_D5_M	31	174.99	22	27.77322495	85.78534555	WT_M	0.00892	0.05436	0.0249	0.09432	0.238571428	4.8422	4.773371777	0.787142555
WTD5PR1	Plant	WT	D5	P	Hete	1	WT_D5_P	101	550.515	7	27.77322495	85.78534555	WT_P	0.03884	0.04078	0.00626	0.096	0.766857144	12.641	17.48540179	1.315820391
WTD5PR2	Plant	WT	D5	P	Hete	2	WT_D5_P	174.6	539.115	7	27.77322495	85.78534555	WT_P	0.03884	0.04078	0.00626	0.096	0.794714286	13.9454	18.50923423	1.304071994
WTD5PR3	Plant	WT	D5	P	Hete	3	WT_D5_P	137.9	559.05	7	27.77322495	85.78534555	WT_P	0.03884	0.04078	0.00626	0.096	0.802142858	13.8394	17.33098361	1.433304354
WTD5MHPR1	Meat	WT	D5	MHP	Hete	1	WT_D5_MHP	41.5	285.405	18	27.77322495	85.78534555	WT_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
WTD5MHPR2	Meat	WT	D5	MHP	Hete	2	WT_D5_MHP	39	276.855	18	27.77322495	85.78534555	WT_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
WTD5MHPR3	Meat	WT	D5	MHP	Hete	3	WT_D5_MHP	85.6	365.985	18	27.77322495	85.78534555	WT_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
WTD5MLPR1	Plant	WT	D5	MLP	Hete	1	WT_D5_MLP	245.9	539.64	7	27.77322495	85.78534555	WT_MLP	0.03244	0.05692	0.00992	0.08488	0.739428573	11.0249	16.80014423	1.22183322
WTD5MLPR2	Plant	WT	D5	MLP	Hete	2	WT_D5_MLP	242.4	568.02	7	27.77322495	85.78534555	WT_MLP	0.03244	0.05692	0.00992	0.08488	0.786285713	11.1917	18.3129798	1.163091238
WTD5MLPR3	Plant	WT	D5	MLP	Hete	3	WT_D5_MLP	213.4	571.92	7	27.77322495	85.78534555	WT_MLP	0.03244	0.05692	0.00992	0.08488	0.72957143	10.8894	16.32810427	1.239455814
WTD5NUSR1	Meat	WT	D5	NUS	Hete	1	WT_D5_NUS	66.4	397.065	19	28.16894808	84.52200564	WT_NUS	0.02934	0.03326	0.00772	0.11856	0.752790698	14.3834	10.98700658	1.127846049
WTD5NUSR2	Meat	WT	D5	NUS	Hete	2	WT_D5_NUS	49.2	328.38	19	28.16894808	84.52200564	WT_NUS	0.02934	0.03326	0.00772	0.11856	0.781744187	11.5256	10.11829574	0.986865293
WTD5NUSR3	Meat	WT	D5	NUS	Hete	3	WT_D5_NUS	65.6	326.745	19	28.16894808	84.52200564	WT_NUS	0.02934	0.03326	0.00772	0.11856	0.804651164	12.9511	10.39447941	1.080852464
WTD10CF70R1	Plant	WT	D10	CF	Homo	1	WT_D10_Control	315.8	677.07	14	27.77322495	85.78534555	WT_CF70	0.01214	0.03912	0.0177	0.11106	0.761285713	11.277	15.51780163	1
WTD10CF70R2	Plant	WT	D10	CF	Homo	2	WT_D10_Control	241.6	695.28	14	27.77322495	85.78534555	WT_CF70	0.01214	0.03912	0.0177	0.11106	0.745571428	15.1136	14.90809524	1
WTD10CF70R3	Plant	WT	D10	CF	Homo	3	WT_D10_Control	210.3	756.69	14	27.77322495	85.78534555	WT_CF70	0.01214	0.03912	0.0177	0.11106	0.733428572	15.0684	16.12092555	1
WTD10OKAR1	Plant	WT	D10	OKA	Homo	1	WT_D10_OKA	197.2	582.9	13	28.16894808	84.52200564	WT_OKA	0.01882	0.05412	0.00818	0.11028	0.70457143	12.16	12.44820273	1.257078409
WTD10OKAR2	Plant	WT	D10	OKA	Homo	2	WT_D10_OKA	178.8	578.61	13	28.16894808	84.52200564	WT_OKA	0.01882	0.05412	0.00818	0.11028	0.721142858	11.7	12.88242836	1.198336427
WTD10OKAR3	Plant	WT	D10	OKA	Homo	3	WT_D10_OKA	222.8	614.28	13	28.16894808	84.52200564	WT_OKA	0.01882	0.05412	0.00818	0.11028	0.680285715	11.45	12.80176923	1.174839634
WTD10PKMR1	Plant	WT	D10	PKM	Homo	1	WT_D10_PKM	165.1	446.46	19	28.16894808	84.52200564	WT_PKM	0.02079	0.04929	0.01278	0.18732	0.66095238	7.9272	10.07262737	0.809155011
WTD10PKMR2	Plant	WT	D10	PKM	Homo	2	WT_D10_PKM	140.3	359.85	19	28.16894808	84.52200564	WT_PKM	0.02079	0.04929	0.01278	0.18732	0.49447619	8.0376	9.421230769	1.050850664
WTD10PKMR3	Plant	WT	D10	PKM	Homo	3	WT_D10_PKM	161.1	360.81	19	28.16894808	84.52200564	WT_PKM	0.02079	0.04929	0.01278	0.18732	0.563142856	8.7772	9.084900285	0.993053877
WTD10RIBR1	Plant	WT	D10	RIB	Homo	1	WT_D10_RIB	190.4	467.67	15	28.16894808	84.52200564	WT_RIB	0.0225	0.0453	0.0264	0.1668	1	8.9208	11.37178862	1.07712193
WTD10RIBR2	Plant	WT	D10	RIB	Homo	2	WT_D10_RIB	150.9	433.08	15	28.16894808	84.52200564	WT_RIB	0.0225	0.0453	0.0264	0.1668	0.551142857	7.8116	10.91870567	0.987799624
WTD10RIBR3	Plant	WT	D10	RIB	Homo	3	WT_D10_RIB	123.3	477.45	15	28.16894808	84.52200564	WT_RIB	0.0225	0.0453	0.0264	0.1668	0.999999998	8.6118	11.28754252	1.02983365
WTD10SBMR1	Plant	WT	D10	SBM	Homo	1	WT_D10_SBM	156.6	538.41	13	28.16894808	84.52200564	WT_SBM	0.0057	0.041301639	0.0057	0.034386885	0.731238097	12.23	13.29665072	1.098138943
WTD10SBMR2	Plant	WT	D10	SBM	Homo	2	WT_D10_SBM	123	542.19	13	28.16894808	84.52200564	WT_SBM	0.0057	0.041301639	0.0057	0.034386885	0.720857143	11.79	12.65395818	1.082376184
WTD10SBMR3	Plant	WT	D10	SBM	Homo	3	WT_D10_SBM	161.2	559.38	13	28.16894808	84.52200564	WT_SBM	0.0057	0.041301639	0.0057	0.034386885	0.718190478	10.92	12.20928017	1.145427223
WTD10MR1	Meat	WT	D10	M	Homo	1	WT_D10_M	136.4	364.08	22	27.77322495	85.78534555	WT_M	0.00892	0.05436	0.0249	0.09432	0.256571429	4.3842	4.116710268	0.816513546
WTD10MR2	Meat	WT	D10	M	Homo	2	WT_D10_M	122.5	407.88	22	27.77322495	85.78534555	WT_M	0.00892	0.05436	0.0249	0.09432	0.204571428	5.0914	4.361332924	0.869381329
WTD10MR3	Meat	WT	D10	M	Homo	3	WT_D10_M	57.7	277.44	22	27.77322495	85.78534555	WT_M	0.00892	0.05436	0.0249	0.09432	0.238571428	4.8422	4.773371777	0.787142555
WTD10PR1	Plant	WT	D10	P	Hete	1	WT_D10_P	213.1	524.55	7	27.77322495	85.78534555	WT_P	0.03884	0.04078	0.00626	0.096	0.766857144	12.641	17.48540179	1.315820391
WTD10PR2	Plant	WT	D10	P	Hete	2	WT_D10_P	174.6	555.27	7	27.77322495	85.78534555	WT_P	0.03884	0.04078	0.00626	0.096	0.794714286	13.9454	18.50923423	1.304071994
WTD10PR3	Plant	WT	D10	P	Hete	3	WT_D10_P	202.5	520.536	7	27.77322495	85.78534555	WT_P	0.03884	0.04078	0.00626	0.096	0.802142858	13.8394	17.33098361	1.433304354
WTD10MHPR1	Meat	WT	D10	MHP	Hete	1	WT_D10_MHP	132.9	551.04	18	27.77322495	85.78534555	WT_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
WTD10MHPR2	Meat	WT	D10	MHP	Hete	2	WT_D10_MHP	98.1	484.68	18	27.77322495	85.78534555	WT_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
WTD10MHPR3	Meat	WT	D10	MHP	Hete	3	WT_D10_MHP	159.5	551.01	18	27.77322495	85.78534555	WT_MHP	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001	0.0000000000000000000001
